gps_id,gps_duration,best_overlap,best_spatial_dist,has_wifi_stay
251,190,0,339.455689768717,TRUE
252,255,0,141.559471693812,TRUE
255,180,0,,FALSE
256,605,0,,FALSE
257,1175,0,,FALSE
258,290,0,,FALSE
260,310,0,353.569616520616,TRUE
261,350,0,236.689289491069,TRUE
262,275,152,27.564980832214,TRUE
265,405,0,259.315623047362,TRUE
267,515,0,15.2010906378691,TRUE
268,410,0,273.029444111778,TRUE
269,180,0,158.93316784061,TRUE
270,335,0,51.0098952750499,TRUE
271,530,0,49.7223978401311,TRUE
272,475,0,49.6041703807641,TRUE
273,755,207,31.0351030318859,TRUE
274,360,0,191.556341744533,TRUE
275,335,0,285.16041943703,TRUE
276,335,310,6.32706740866579,TRUE
277,615,0,64.6197799567556,TRUE
278,180,0,294.762460046435,TRUE
279,320,284,36.6084853542494,TRUE
280,230,165,27.5832972651781,TRUE
285,260,0,69.9260366393177,TRUE
288,220,0,64.5227729796936,TRUE
291,290,0,69.0731329328459,TRUE
293,485,463,32.7914426097248,TRUE
297,270,0,67.3219022082048,TRUE
298,245,0,62.506459787672,TRUE
299,290,189,37.3822283820678,TRUE
302,235,0,64.8520879565598,TRUE
303,420,397,34.5918044205561,TRUE
305,375,375,39.7330391606269,TRUE
306,390,304,35.0793897092128,TRUE
307,260,0,63.544728075346,TRUE
308,295,0,65.870854285976,TRUE
309,280,0,62.8284665222375,TRUE
311,445,388,231.92341582199,TRUE
313,1035,770,464.236072387966,TRUE
314,255,0,294.08991600594,TRUE
315,215,215,28.4887379973272,TRUE
316,320,225,13.1063534771823,TRUE
317,195,195,17.5577276926436,TRUE
318,230,199,24.9155518416128,TRUE
319,295,247,17.1638643438648,TRUE
320,285,107,114.483208439903,TRUE
321,675,0,176.263943091096,TRUE
322,650,0,176.947084319709,TRUE
323,190,172,20.8007946979597,TRUE
324,390,246,14.2043973985848,TRUE
325,255,255,151.863826944591,TRUE
326,235,0,141.173251752307,TRUE
327,345,0,217.647233753062,TRUE
328,185,185,9.06269332847011,TRUE
330,200,0,383.709122663022,TRUE
331,295,253,27.9207886135703,TRUE
332,580,238,76.8477042300529,TRUE
333,220,0,169.894390113833,TRUE
334,320,0,230.847068800475,TRUE
335,190,166,14.5157535811959,TRUE
336,510,172,67.8670299158148,TRUE
337,260,161,12.9495551698751,TRUE
338,260,0,427.759305697277,TRUE
339,215,215,4.06683627503007,TRUE
340,265,265,8.81395171118557,TRUE
341,675,558,14.0951606696001,TRUE
342,1330,1010,41.115195444223,TRUE
343,310,0,223.357811826477,TRUE
345,330,0,565.469848026255,TRUE
346,225,165,17.778704892763,TRUE
347,200,143,70.303772633934,TRUE
348,195,195,19.7886994078895,TRUE
349,180,0,36.819062158932,TRUE
350,195,0,8.0709688640324,TRUE
351,850,850,45.4563157994776,TRUE
353,540,355,11.6663632309023,TRUE
354,400,280,27.6822995950669,TRUE
355,335,335,9.22522653779873,TRUE
356,235,187,6.63581663569409,TRUE
357,380,322,8.39463828649014,TRUE
358,830,580,11.8555335815535,TRUE
359,230,202,57.2665084562722,TRUE
360,225,0,257.036701281064,TRUE
361,795,795,15.9037720963644,TRUE
362,180,180,26.6686535000259,TRUE
364,295,0,72.0671124948961,TRUE
365,190,180,8.70662047368901,TRUE
366,230,0,36.1865538079376,TRUE
367,510,510,32.3780150544798,TRUE
368,565,0,154.837900564216,TRUE
369,525,0,7.74894259505864,TRUE
370,265,265,7.44257197662211,TRUE
371,295,180,12.7385133242457,TRUE
372,305,0,196.136161860213,TRUE
373,200,200,8.60381666072439,TRUE
374,270,0,506.134997530026,TRUE
375,205,205,11.3679983072866,TRUE
376,310,310,21.2030709449234,TRUE
377,180,180,15.9912311104179,TRUE
378,180,0,179.799950744611,TRUE
379,505,0,178.996904693719,TRUE
380,275,0,178.681859369657,TRUE
381,400,400,12.8197669177478,TRUE
382,295,0,94.4278645591244,TRUE
383,230,195,15.3677524170359,TRUE
384,300,0,175.063360598848,TRUE
385,180,0,,FALSE
386,265,0,309.10060061505,TRUE
387,470,334,7.47272065417011,TRUE
388,190,0,21.4711729070142,TRUE
389,520,437,33.2293049446223,TRUE
390,295,0,8.17844617971914,TRUE
391,250,242,5.64833363853896,TRUE
392,320,300,23.4960932519266,TRUE
395,265,0,287.677985518395,TRUE
396,240,0,41.6888640107115,TRUE
397,365,0,40.2750383401387,TRUE
398,355,0,39.0152708658218,TRUE
399,495,0,37.7354826074142,TRUE
400,180,0,38.0417108242365,TRUE
401,435,0,317.899551658296,TRUE
402,190,75,33.3575917510226,TRUE
403,290,268,14.5274819291796,TRUE
404,270,180,33.9164255069889,TRUE
405,320,0,275.783103241205,TRUE
406,335,177,31.9064456704709,TRUE
407,250,183,9.71494814776535,TRUE
408,255,167,4.95286251366763,TRUE
409,185,0,44.6549621145568,TRUE
410,460,220,94.1965019117105,TRUE
411,480,0,396.961814480331,TRUE
412,295,0,11.1782626493148,TRUE
413,230,0,8.07013635674594,TRUE
414,240,0,501.194130301446,TRUE
415,195,195,15.4107097501743,TRUE
416,320,0,316.214070574781,TRUE
417,280,205,6.2561929379598,TRUE
418,610,424,6.95054233628526,TRUE
419,300,0,261.403837574373,TRUE
420,305,305,17.5233981309608,TRUE
421,410,167,12.1683582592999,TRUE
422,350,327,19.7309551966043,TRUE
425,180,180,15.9911191646255,TRUE
429,290,0,245.458520992374,TRUE
430,925,0,172.686052568953,TRUE
431,280,0,,FALSE
432,260,0,,FALSE
433,350,0,333.608184552643,TRUE
434,180,0,400.041041243009,TRUE
435,215,0,436.049248260102,TRUE
436,465,465,26.7527726723413,TRUE
437,180,163,13.7288850544262,TRUE
438,290,0,28.6971654240033,TRUE
439,475,164,40.9433016545097,TRUE
440,1210,264,27.953130763804,TRUE
441,420,220,25.7394441503314,TRUE
442,780,0,312.528044872509,TRUE
443,335,280,30.9165743642616,TRUE
444,380,0,163.207404882812,TRUE
445,535,186,19.8341052819553,TRUE
446,210,0,278.021394717936,TRUE
447,295,220,15.367265317716,TRUE
448,270,0,275.245892591573,TRUE
449,300,0,22.9392814772304,TRUE
450,295,0,20.149264261858,TRUE
451,190,116,29.3957262489429,TRUE
455,620,0,295.304088344464,TRUE
456,335,0,259.732816009159,TRUE
457,295,0,19.7734995843034,TRUE
458,425,0,26.9507248140312,TRUE
459,230,176,14.8404785451908,TRUE
460,275,275,22.0318828465791,TRUE
461,915,550,28.1027120293402,TRUE
462,720,720,17.2079664985386,TRUE
463,200,184,31.5043564559331,TRUE
464,345,345,28.6044065592845,TRUE
466,285,200,7.34979383320059,TRUE
467,665,0,183.188055157369,TRUE
468,590,577,3.10298519336076,TRUE
469,350,230,15.6949591927517,TRUE
470,210,205,17.0923876760741,TRUE
471,510,0,259.208384600407,TRUE
472,710,710,15.3195638663751,TRUE
473,200,0,454.852161850332,TRUE
474,705,0,10.0845734250308,TRUE
475,380,296,5.99766864016777,TRUE
476,350,300,33.6637984681174,TRUE
477,580,0,417.059073546775,TRUE
478,200,200,6.22355118182986,TRUE
479,340,0,481.908510285372,TRUE
480,575,0,468.009585036163,TRUE
482,440,440,16.2032578481422,TRUE
483,280,264,40.4782478895951,TRUE
484,225,225,21.9295035871516,TRUE
485,195,195,16.6935018466355,TRUE
486,225,0,322.486309711553,TRUE
487,215,184,45.5644419622204,TRUE
489,220,0,178.280010140499,TRUE
490,215,0,167.959022996978,TRUE
493,265,0,39.4277711174521,TRUE
494,310,0,284.572549330329,TRUE
496,250,0,294.252735823392,TRUE
497,235,0,520.884762373477,TRUE
498,490,410,9.41423715217805,TRUE
499,245,0,176.83945054213,TRUE
501,825,825,11.7914169471104,TRUE
502,1175,608,9.18460358079369,TRUE
503,300,0,28.9130413392485,TRUE
505,575,0,17.6339998719317,TRUE
506,600,350,15.7741948452074,TRUE
507,865,0,354.220124242719,TRUE
508,490,0,245.981243779772,TRUE
509,340,0,29.0232983999769,TRUE
510,1020,500,7.38464784313272,TRUE
511,360,250,23.9438860174717,TRUE
