source_address,timestamp,x,y
b84170e4d8f3f45a54ebc86352d8c5a4,2019-10-23T18:53:33Z,398429.058736457,333189.732451022
b84170e4d8f3f45a54ebc86352d8c5a4,2019-10-23T18:53:34Z,398429.813196055,333188.337271916
b84170e4d8f3f45a54ebc86352d8c5a4,2019-10-23T18:53:35Z,398430.338189681,333186.564205016
b84170e4d8f3f45a54ebc86352d8c5a4,2019-10-23T18:53:36Z,398430.863183307,333184.791138116
b84170e4d8f3f45a54ebc86352d8c5a4,2019-10-23T18:53:37Z,398431.388176933,333183.018071217
b84170e4d8f3f45a54ebc86352d8c5a4,2019-10-23T18:53:38Z,398431.913170559,333181.245004317
b84170e4d8f3f45a54ebc86352d8c5a4,2019-10-23T18:53:39Z,398432.438164185,333179.471937417
b84170e4d8f3f45a54ebc86352d8c5a4,2019-10-23T18:53:40Z,398432.820452692,333177.752258339
b84170e4d8f3f45a54ebc86352d8c5a4,2019-10-23T18:53:41Z,398433.2027412,333176.032579261
b84170e4d8f3f45a54ebc86352d8c5a4,2019-10-23T18:53:42Z,398433.585029707,333174.312900182
b84170e4d8f3f45a54ebc86352d8c5a4,2019-10-23T18:53:43Z,398433.967318215,333172.593221104
b84170e4d8f3f45a54ebc86352d8c5a4,2019-10-23T18:53:44Z,398434.349606722,333170.873542026
b84170e4d8f3f45a54ebc86352d8c5a4,2019-10-23T18:53:45Z,398434.41359958,333169.382774832
b84170e4d8f3f45a54ebc86352d8c5a4,2019-10-23T18:53:46Z,398434.477592438,333167.892007638
b84170e4d8f3f45a54ebc86352d8c5a4,2019-10-23T18:53:47Z,398434.541585297,333166.401240444
b84170e4d8f3f45a54ebc86352d8c5a4,2019-10-23T18:53:48Z,398434.605578155,333164.91047325
b84170e4d8f3f45a54ebc86352d8c5a4,2019-10-23T18:53:49Z,398434.669571013,333163.419706056
b84170e4d8f3f45a54ebc86352d8c5a4,2019-10-23T18:53:50Z,398434.733563871,333161.928938862
b84170e4d8f3f45a54ebc86352d8c5a4,2019-10-23T18:53:51Z,398434.79755673,333160.438171668
b84170e4d8f3f45a54ebc86352d8c5a4,2019-10-23T18:53:52Z,398434.861549588,333158.947404474
b84170e4d8f3f45a54ebc86352d8c5a4,2019-10-23T18:53:53Z,398434.925542447,333157.45663728
b84170e4d8f3f45a54ebc86352d8c5a4,2019-10-23T18:53:54Z,398434.989535305,333155.965870086
b84170e4d8f3f45a54ebc86352d8c5a4,2019-10-23T18:53:55Z,398435.166549175,333154.112592923
b84170e4d8f3f45a54ebc86352d8c5a4,2019-10-23T18:53:56Z,398435.343563046,333152.25931576
b84170e4d8f3f45a54ebc86352d8c5a4,2019-10-23T18:53:57Z,398435.520576916,333150.406038597
